timestamp,open,close,high,low,volume
2019-01-05 01:15:00,5.4615,5.4542,5.4916,5.4502,17634.66
2019-01-05 01:30:00,5.46,5.4261,5.4686,5.4227,2888.96
2019-01-05 01:45:00,5.4331,5.4298,5.4448,5.4221,914.91
2019-01-05 02:00:00,5.4319,5.4177,5.4545,5.4017,4995.85
2019-01-05 02:15:00,5.4019,5.409,5.4136,5.3917,1872.08
2019-01-05 02:30:00,5.4093,5.404,5.4153,5.3951,1393.65
2019-01-05 02:45:00,5.4051,5.417,5.4494,5.4051,1773.76
2019-01-05 03:00:00,5.4135,5.43,5.4384,5.4133,1395.91
2019-01-05 03:15:00,5.4271,5.4414,5.4414,5.4233,1019.74
2019-01-05 03:30:00,5.4439,5.4242,5.4439,5.4212,727.91
2019-01-05 03:45:00,5.4151,5.4097,5.4151,5.3947,5593.14
2019-01-05 04:00:00,5.4167,5.411,5.4308,5.41,1383.92
2019-01-05 04:15:00,5.4143,5.4178,5.4178,5.4143,45.7
2019-01-05 04:30:00,5.4115,5.4239,5.4239,5.4115,182.53
2019-01-05 04:45:00,5.4274,5.4341,5.437,5.424,446.97
2019-01-05 05:00:00,5.4312,5.4298,5.4419,5.4207,2283.99
2019-01-05 05:15:00,5.4223,5.4223,5.4223,5.4223,163.56
2019-01-05 05:30:00,5.426,5.4155,5.426,5.4155,823.33
2019-01-05 05:45:00,5.4165,5.3941,5.4197,5.3941,837.61
2019-01-05 06:00:00,5.398,5.4138,5.4138,5.398,826.12
2019-01-05 06:15:00,5.4253,5.4412,5.4421,5.4253,593.18
2019-01-05 06:30:00,5.4411,5.4338,5.4411,5.431,535.6
2019-01-05 06:45:00,5.4372,5.4306,5.4411,5.4306,634.96
2019-01-05 07:00:00,5.4201,5.4054,5.4251,5.4016,748.89
2019-01-05 07:15:00,5.4038,5.4004,5.4076,5.382,2182.1
2019-01-05 07:30:00,5.3912,5.3751,5.3912,5.3718,4148.76
2019-01-05 07:45:00,5.3792,5.382,5.382,5.3792,503.04
2019-01-05 08:00:00,5.3802,5.3583,5.3802,5.347,3790.38
2019-01-05 08:15:00,5.3536,5.347,5.3536,5.347,1385.65
2019-01-05 08:30:00,5.347,5.2926,5.347,5.2876,3489.62
2019-01-05 08:45:00,5.2877,5.2931,5.3022,5.2849,1165.48
2019-01-05 09:00:00,5.2976,5.3138,5.3196,5.2976,2030.0
2019-01-05 09:15:00,5.3136,5.3142,5.3142,5.3101,139.86
2019-01-05 09:30:00,5.3157,5.3232,5.3251,5.3157,310.56
2019-01-05 09:45:00,5.324,5.3174,5.3249,5.3174,290.5
2019-01-05 10:00:00,5.3147,5.3084,5.3147,5.3084,210.05
2019-01-05 10:15:00,5.3158,5.3209,5.3209,5.3141,170.14
2019-01-05 10:30:00,5.3206,5.3181,5.3206,5.3181,156.7
2019-01-05 10:45:00,5.3222,5.3247,5.3248,5.3222,419.28
2019-01-05 11:00:00,5.3247,5.307,5.3247,5.2998,3081.32
2019-01-05 11:15:00,5.3038,5.3064,5.3064,5.295,60.19
2019-01-05 11:30:00,5.3196,5.3036,5.3233,5.3026,686.67
2019-01-05 11:45:00,5.3035,5.3246,5.3247,5.3019,1189.37
2019-01-05 12:00:00,5.3246,5.3323,5.3454,5.3223,1278.39
2019-01-05 12:15:00,5.329,5.3452,5.3473,5.329,1398.57
2019-01-05 12:30:00,5.3477,5.3598,5.3726,5.3433,3245.83
2019-01-05 12:45:00,5.3637,5.3735,5.3735,5.3538,1438.47
2019-01-05 13:00:00,5.3672,5.3855,5.3996,5.367,4279.43
2019-01-05 13:15:00,5.3827,5.3824,5.3827,5.379,1543.03
2019-01-05 13:30:00,5.3868,5.3878,5.3904,5.3796,1726.62
2019-01-05 13:45:00,5.3867,5.3845,5.388,5.3799,1579.72
2019-01-05 14:00:00,5.3851,5.3586,5.3851,5.3411,4994.92
2019-01-05 14:15:00,5.3515,5.3551,5.3551,5.3348,2128.54
2019-01-05 14:30:00,5.3567,5.3629,5.3782,5.355,2435.94
2019-01-05 14:45:00,5.3661,5.3696,5.3757,5.363,1215.55
2019-01-05 15:00:00,5.3638,5.3639,5.3651,5.3586,1419.32
2019-01-05 15:15:00,5.3749,5.37,5.3756,5.3691,730.43
2019-01-05 15:30:00,5.3677,5.353,5.3677,5.3495,608.12
2019-01-05 15:45:00,5.3529,5.3699,5.3699,5.3503,1658.86
2019-01-05 16:00:00,5.3694,5.3892,5.4082,5.3653,4930.21
2019-01-05 16:15:00,5.3743,5.4295,5.4298,5.3743,2119.35
2019-01-05 16:30:00,5.4143,5.4052,5.4145,5.3951,1526.18
2019-01-05 16:45:00,5.4043,5.3761,5.406,5.3718,3816.07
2019-01-05 17:00:00,5.3762,5.3767,5.3767,5.3485,6573.18
2019-01-05 17:15:00,5.3762,5.4009,5.4031,5.3693,3255.39
2019-01-05 17:30:00,5.3939,5.392,5.3951,5.379,1606.34
2019-01-05 17:45:00,5.3901,5.3601,5.3901,5.3583,1946.52
2019-01-05 18:00:00,5.3655,5.3791,5.3885,5.364,2469.62
2019-01-05 18:15:00,5.3696,5.3701,5.3769,5.3633,1291.3
2019-01-05 18:30:00,5.3688,5.3733,5.3768,5.3667,423.27
2019-01-05 18:45:00,5.3743,5.3603,5.3744,5.3562,1787.16
2019-01-05 19:00:00,5.3577,5.3669,5.3674,5.3548,2079.56
2019-01-05 19:15:00,5.3626,5.3695,5.3711,5.3625,229.06
2019-01-05 19:30:00,5.3642,5.3745,5.3753,5.3572,823.72
2019-01-05 19:45:00,5.3767,5.3697,5.3768,5.3661,537.46
2019-01-05 20:00:00,5.3722,5.3562,5.3722,5.3443,730.51
2019-01-05 20:15:00,5.3531,5.3723,5.3723,5.3528,427.89
2019-01-05 20:30:00,5.3721,5.3849,5.3849,5.3675,313.23
2019-01-05 20:45:00,5.3761,5.363,5.3761,5.3522,1438.06
2019-01-05 21:00:00,5.3698,5.3497,5.3698,5.344,1589.39
2019-01-05 21:15:00,5.3485,5.3313,5.3485,5.303,14460.99
2019-01-05 21:30:00,5.3313,5.341,5.3454,5.3287,3769.94
