timestamp,ema50_dist_xrp_btc_15m,ema200_dist_xrp_btc_15m,upper_bb_dist_xrp_btc_15m,lower_bb_dist_xrp_btc_15m,width_bb_xrp_btc_15m,rsi_xrp_btc_15m,stoch_rsi_fastk_xrp_btc_15m,stoch_rsi_fastd_xrp_btc_15m,kijun_dist_xrp_btc_15m,tenkan_dist_xrp_btc_15m
2019-02-09 21:15:00,0.1795168573296868,0.5270480612408646,0.2809213875024641,-0.3739063215890792,0.6551322962584618,46.99534501703873,38.3720526403048,79.45735088010163,-1.4065442561205344,-1.3241525423728806
2019-02-09 21:30:00,0.20647588850279952,0.5569598524111985,0.29400497834579653,-0.33521538691755337,0.6293500441256207,45.76079438975503,8.29113672291419,48.887729787739694,-1.371717885317325,-1.2892970681737892
2019-02-09 21:45:00,-0.07291901472334938,0.27087863797083944,0.03478438231223624,-0.6277161658040487,0.6644704764396471,55.77086570273375,100.0,48.887729787739694,-1.6496418926852274,-1.5674533286368475
2019-02-09 22:00:00,0.00891336335213655,0.34984162533977514,0.13100409203832264,-0.5505105550230316,0.6829471507795105,52.71503139479944,69.47240221983014,59.25451298091482,-1.5687426556991735,-1.4864864864864824
2019-02-09 22:15:00,0.17822890831793448,0.5217896943163103,0.28345175345914075,-0.36938465516601626,0.6531170298328085,46.797712872865155,10.358752207546154,59.943718142458806,-1.3949381989405651,-1.31253678634492
2019-02-09 22:30:00,-0.054831325960214006,0.2828418606849459,0.06731231444663255,-0.6122330425734623,0.6814019071370265,54.18260698158059,84.13339254542694,54.654848990934454,-1.626541397533765,-1.5443335290663551
2019-02-09 22:45:00,-0.06395699971222246,0.2683688709474552,0.09154654356053893,-0.6317062429499365,0.7252114364680573,54.52251786428769,86.08796860908544,60.193371120686216,-1.6380930014091244,-1.5558947862846506
2019-02-09 23:00:00,0.028835069489585585,0.3590419036065162,0.20433874286005516,-0.5310900357608728,0.736632256331683,51.24701531423198,57.597602092314794,75.9396544156091,-1.5456041372825746,-1.4633286318758931
2019-02-09 23:15:00,0.1181571160084216,0.44898505979569237,0.2933565054861642,-0.39688591725089983,0.690599909749158,48.13294000317875,17.284929934104568,53.6568335451683,-1.4529411764706013,-1.3705882352941234
2019-02-09 23:30:00,-0.2809367682839681,0.036698889060526874,-0.07917766325495901,-0.75386275853766,0.6775070490723363,59.67736238676179,100.0,58.29417734213982,-1.8570591681312365,-1.7750439367311133
2019-02-09 23:45:00,-0.15753428911018386,0.152511214372808,0.07251036480018236,-0.6203109513104432,0.6947241676431084,55.852302019289944,66.86659375083723,61.38384122831396,-1.741935483870971,-1.6598240469208214
2019-02-10 00:00:00,-0.15135647385096096,0.15099368985167505,0.10145450604435169,-0.5999882303845294,0.703195569961053,55.852302019289944,66.86659375083723,77.91106250055817,-1.741935483870971,-1.6598240469208214
2019-02-10 00:15:00,-0.20165364006941022,0.09137024140208894,0.06350671696784271,-0.6145031999690076,0.6798829825981707,57.43437691695069,80.57082983206867,71.43467244458107,-1.7995310668229791,-1.7174677608440825
2019-02-10 00:30:00,-0.12625291435444108,0.1602138554487098,0.15452411616896367,-0.5275884052351354,0.683387258312503,54.89225721766079,0.0,49.14580786096866,-1.7304082590333225,-1.6482871891130957
2019-02-10 00:45:00,-0.07625152410913882,0.20517536604836017,0.20741935433903347,-0.4492033918977456,0.6574175115382944,53.20165041718086,0.0,26.85694327735625,-1.6842723004694915,-1.6021126760563331
2019-02-10 01:00:00,0.08475335452924337,0.3664201503812192,0.3637784093081464,-0.2567951034064375,0.6202417351581682,47.66800615663507,0.0,2.842170943040401e-14,-1.522454737832124,-1.4401598871384924
2019-02-10 01:15:00,0.19461220423837577,0.4797324523974744,0.47443353103175934,-0.12368023536319939,0.5970666509172438,44.13664529444408,0.0,2.842170943040401e-14,-1.4065442561205344,-1.3241525423728806
2019-02-10 01:30:00,0.15300032777385564,0.43984429903560773,0.43281173490707925,-0.14454252676494583,0.5765232921075695,45.442443189956784,12.140619286328576,4.046873095442887,-1.4413460407106782,-1.3589834098129194
2019-02-10 01:45:00,0.4194971126189939,0.7170689929721474,0.7530426156089565,0.06465649943527829,0.6855831126511738,37.82509730588998,0.0,4.046873095442887,-1.162241887905613,-1.0796460176991207
2019-02-10 02:00:00,0.36890559520339483,0.6746491553628164,0.7363238090252189,-0.025071155097411424,0.7586968384233594,39.19711862629004,13.939185470524794,8.693268252284485,-1.1972163246048662,-1.1146496815286566
2019-02-10 02:15:00,0.47972057647240884,0.7974274325161623,0.9016100524184001,0.036148303551852834,0.8614227171115784,36.05536745510545,0.0,4.646395156841627,-1.0688555568678426,-0.9861816463918704
2019-02-10 02:30:00,0.49512563458753434,0.8248642163425357,0.9688942338488937,0.005822212275852223,0.9584011746385237,35.22609843804022,0.0,4.646395156841627,-1.0337901701323315,-0.9510869565217406
2019-02-10 02:45:00,0.441498192952805,0.7812881351465961,0.9371935614195692,-0.09273861870079392,1.025601807542162,36.791710768643036,39.42594739849059,13.14198246616356,-1.0688555568678426,-0.9861816463918704
2019-02-10 03:00:00,0.5611486295076462,0.9151275917379076,1.101466509066129,-0.037007609006989295,1.1324469021539023,33.32224140275762,0.0,13.14198246616356,-0.9284447072738011,-0.8456534594914245
2019-02-10 03:15:00,0.368037297640722,0.7290838333954053,0.9279962080320114,-0.24912962007451744,1.1731437875054938,40.83305397133989,100.0,46.47531579949689,-1.103896103896107,-1.0212514757969249
2019-02-10 03:30:00,0.43336627867982536,0.8043162855831731,1.0012289867758373,-0.21781884852698497,1.2142913943571936,38.645320984710644,70.8722196612849,56.957406553761665,-1.0220961833865005,-0.9393831974477074
2019-02-10 03:45:00,0.5991484666952207,0.985353106760023,1.191346633848922,-0.10930567256089985,1.2936533766933642,34.142502609565874,10.921071446242804,60.59776370250926,-0.8346158399431758,-0.7517461820764737
2019-02-10 04:00:00,0.5642113873350896,0.9637137824534792,1.1771379040970587,-0.18992199500615925,1.3603451273453604,34.654968288099205,17.744110549587962,33.17913388570525,-0.8463541666666741,-0.7634943181818232
2019-02-10 04:15:00,0.6222114567090653,1.0370192355361185,1.267737153296511,-0.1837423659490245,1.443654947058846,32.7347470281129,0.0,9.555060665276946,-0.7641274730482261,-0.6811989100817484
2019-02-10 04:30:00,0.5634636925116343,0.9911611966605394,1.1599732122887119,-0.2551887499485872,1.40878871155262,34.41207337270631,28.378400421182047,15.374170323590027,-0.7993841781146371,-0.7164850781620102
