timestamp,ema50_dist_neo_usd_30m,ema200_dist_neo_usd_30m,lower_bb_dist_neo_usd_30m,width_bb_neo_usd_30m,rsi_neo_usd_30m,stoch_rsi_fastk_neo_usd_30m,stoch_rsi_fastd_neo_usd_30m,kijun_dist_neo_usd_30m,tenkan_dist_neo_usd_30m
2019-02-04 23:30:00,0.0035632241222294248,0.012276407107378873,-0.004654971134860353,0.01686710247147508,0.440230283034745,0.4257015908952569,0.41543781000529373,0.005694616510868222,0.007869692532942896
2019-02-05 00:00:00,-3.904519401543016e-05,0.0073369846555473295,-0.007765305831622826,0.01510552549539278,0.5085454833182822,1.0,0.5542520352022425,0.002083099539894606,0.004250364717764521
2019-02-05 00:30:00,0.003465751151143115,0.009209812270932316,-0.003613987466980162,0.012788019978218813,0.4488606528001414,0.13704357816507273,0.5209150563534433,0.005737093299919671,0.00791226118909183
2019-02-05 01:00:00,0.0033162660039289804,0.007303510320715079,-0.0028903631997810875,0.010171429513060572,0.44912947715773766,0.14093039000183952,0.4259913227223041,0.005722933971561428,0.00789807123750541
2019-02-05 01:30:00,0.0013846048380767861,0.004776635198368018,-0.004578978550953683,0.009354689241065264,0.4851015224230726,0.656826580352437,0.31160018283978314,0.0038432893498026033,0.006014361395669132
2019-02-05 02:00:00,0.0009518990945678318,0.0036353897353396114,-0.004666898774404515,0.008306572662136578,0.4926133516457204,0.7330622951552261,0.5102730885031677,0.003448469609922622,0.005618687755474694
2019-02-05 02:30:00,-0.002692188013577068,0.0004921483009938665,-0.008446837843249289,0.008974681546966548,0.5589393581785858,1.0,0.7966296251692212,-0.00031486586714057907,0.0018472130872249082
2019-02-05 03:00:00,-0.0015664387879049668,0.0018871052097304553,-0.007254407788776285,0.009166111645845082,0.5374821914683703,0.8045971226747646,0.845886472609997,0.0007494781670704942,0.002913859042068978
2019-02-05 03:30:00,-0.0012765011679242155,0.0014946634728740804,-0.00666146783349475,0.008177256448506864,0.5325573295068728,0.6427031155264719,0.815766746067079,0.0009878653700643447,0.0031527618193538665
2019-02-05 04:00:00,-0.0011188655311478168,0.0017891354681858207,-0.006201172801071686,0.00800797400940251,0.5300957715143306,0.5651240264260028,0.6708080882090799,0.0011000868858432877,0.0032652260433310154
2019-02-05 04:30:00,0.00016393695368011052,0.0031655724705592636,-0.0047783213269577685,0.007950304719939653,0.5013942088324839,0.0,0.40260904731749164,0.0023924452052872525,0.004560379423568239
