timestamp,ema50_dist_zec_btc_30m,ema200_dist_zec_btc_30m,lower_bb_dist_zec_btc_30m,width_bb_zec_btc_30m,rsi_zec_btc_30m,stoch_rsi_fastk_zec_btc_30m,stoch_rsi_fastd_zec_btc_30m,kijun_dist_zec_btc_30m,tenkan_dist_zec_btc_30m
2019-02-05 19:00:00,0.004005243863932195,0.00677996999867525,-0.000856072621910009,0.00761349184839098,0.3938847961655578,0.7205147343220615,0.6009102284663747,-0.00774718939175556,-0.008251657538195456
2019-02-05 19:30:00,0.0038481754771113597,0.006571646114052365,-0.0011738369471456789,0.007724635008368451,0.39388479616555777,0.3638023841138482,0.5943430822059279,-0.00774718939175556,-0.008251657538195456
2019-02-05 20:00:00,0.0034193180526351785,0.005995366312147921,-0.0016653951305921622,0.0076442118342660145,0.40705528380392136,0.6598794684375991,0.58139886229117,-0.008033141210374684,-0.008537463976945325
2019-02-05 20:30:00,0.0046067278539425605,0.0072098233662776234,-0.0007239998326223906,0.007908177676458834,0.3663356254889883,0.0,0.34122728418381615,-0.006673400187576672,-0.007178414255825771
2019-02-05 21:00:00,0.004426071859670255,0.006895084333027102,-0.0010297066546491873,0.007901618000753964,0.36633562548898824,0.0,0.21995982281253343,-0.006673400187576672,-0.007178414255825771
2019-02-05 21:30:00,0.00286205763033065,0.005053574428201424,-0.00251052997895429,0.007554498694170224,0.43529851074747683,1.0,0.3333333333333337,-0.008104603414739509,-0.00860888984943442
2019-02-05 22:00:00,0.0050459369461781645,0.007142703371503467,-0.0005063659942650123,0.007623772402892077,0.3647592269071038,0.0,0.3333333333333337,-0.005740901213171612,-0.0062463893703061935
2019-02-05 22:30:00,0.004638909920431811,0.006656442151922848,-0.0010322994907435712,0.00766718098283815,0.374679835075253,0.1406394795643099,0.3802131598547704,-0.005956248646307172,-0.006461627319327201
2019-02-05 23:00:00,0.004666099619520692,0.006399389555016066,-0.000997887533063735,0.0073773526953295684,0.3684825490680911,0.052783668309038016,0.0644743826244497,-0.005740901213171612,-0.0062463893703061935
2019-02-05 23:30:00,0.005041073372187732,0.006860352193306829,-0.0008271151990874026,0.007664346981521481,0.35177327888114257,0.0,0.0644743826244497,-0.005166184971098331,-0.0056719653179191365
2019-02-06 00:00:00,-0.0010509320687395185,0.00098584919058875,-0.007032527826136503,0.00804269280610669,0.5732163017004047,1.0,0.3509278894363464,-0.011238779174147284,-0.011741472172351886
2019-02-06 00:30:00,0.00251835536099021,0.004368820064017731,-0.003388569235129091,0.007753589068091335,0.4695665712393592,0.5319349910354024,0.5106449970118012,-0.00760415165056938,-0.008108692518379645
2019-02-06 01:00:00,0.009482951799187234,0.012241579779428413,0.0023304088940627743,0.009839480486266315,0.33887989141601094,0.0,0.5106449970118012,-0.0003267262034415408,-0.0008349669643505919
2019-02-06 01:30:00,0.009815783524995458,0.013413357291639949,0.0015688413569108217,0.011756447220896783,0.32911330270191674,0.0,0.17731166367846793,0.0003996221753979068,-0.00010898786601754029
2019-02-06 02:00:00,0.03053501143291726,0.04164698951598389,0.013779885020022142,0.027115636991223633,0.17236582405035908,0.0,4.263256414560601e-16,0.022160356347438848,0.0216406829992577
2019-02-06 02:30:00,0.03726564804496513,0.05458760063391521,0.013091812671480296,0.04013754520687491,0.1451736588366291,0.0,4.263256414560601e-16,0.03034498241412864,0.02982114794582058
