timestamp,ema50_dist_trx_btc_30m,ema200_dist_trx_btc_30m,lower_bb_dist_trx_btc_30m,width_bb_trx_btc_30m,rsi_trx_btc_30m,stoch_rsi_fastk_trx_btc_30m,stoch_rsi_fastd_trx_btc_30m,kijun_dist_trx_btc_30m,tenkan_dist_trx_btc_30m
2019-02-03 16:00:00,0.003976522985030151,0.009465070579734558,-0.0015135880999497253,0.010935183220787625,0.42550844687524275,0.0,-4.263256414560601e-16,0.0242587601078168,0.0242587601078168
2019-02-03 16:30:00,0.0051223418985928415,0.010982353602327244,-0.00045603781285297185,0.01137850454913218,0.40263512594442635,0.0,-4.263256414560601e-16,0.02564102564102555,0.02564102564102555
2019-02-03 17:00:00,0.00622647355580308,0.012348545972060254,0.000894697271183631,0.01137850454913218,0.38060196785704775,0.0,-4.263256414560601e-16,0.027027027027026973,0.027027027027026973
2019-02-03 17:30:00,0.004677619833648894,0.011199579960743833,-0.0009431697043327247,0.012080796860662924,0.41507278675816045,0.36249372247215533,0.12083124082405135,0.02564102564102555,0.02564102564102555
2019-02-03 18:00:00,0.0018958567160149986,0.008486159877247212,-0.0037755273065868122,0.01223287489437895,0.47768112524726297,1.0,0.4541645741573847,0.02288021534320328,0.02288021534320328
2019-02-03 18:30:00,0.005723965433491296,0.01290405391795102,-0.000606756620652904,0.013428244978264527,0.407263443555311,0.27463645559979427,0.5457100593573161,0.027027027027026973,0.027027027027026973
2019-02-03 19:00:00,0.006807052100570088,0.014477795444346686,-0.0004047237258074654,0.014778529517258547,0.3867948611383876,0.06379220265012384,0.4461428860833056,0.02841677943166432,0.02841677943166432
2019-02-03 19:30:00,0.009165141235367269,0.01779090031841335,0.0006622882840299216,0.01697201810882047,0.34901415608532355,0.0,0.11280955274997231,0.031207598371777445,0.031207598371777445
2019-02-03 20:00:00,0.006181664290185962,0.014894013513623294,-0.0028507117544884775,0.017638512304976206,0.4109737671773834,0.48155024942009655,0.1817808173567397,0.02841677943166432,0.02841677943166432
2019-02-03 20:30:00,0.011200326680323336,0.02081632653000165,0.0006802721094547604,0.019921927579892175,0.34105734122014036,0.0,0.16051674980669842,0.03401360544217691,0.03401360544217691
2019-02-03 21:00:00,0.010761098183055928,0.020893703466652314,-0.0008937034666516297,0.021571690032974176,0.34105734122014036,0.0,0.16051674980669842,0.03401360544217691,0.03401360544217691
2019-02-03 21:30:00,0.00639143820242194,0.016019134048370853,-0.00545002835731323,0.02135630388919639,0.42599689753657044,1.0,0.3333333333333329,0.02981029810298108,0.02981029810298108
2019-02-03 22:00:00,0.006140793567032787,0.01515230266730061,-0.00580270917136505,0.020857507231688284,0.42599689753657044,1.0,0.6666666666666663,0.02981029810298108,0.02981029810298108
2019-02-03 22:30:00,0.007211625747493455,0.015258815560969197,-0.004675369156626918,0.019829253795206354,0.40577615946523965,0.7619396786580639,0.9206465595526875,0.031207598371777445,0.031207598371777445
2019-02-03 23:00:00,0.008243644517775817,0.01582857008642824,-0.0038720483472968192,0.019583542905485748,0.38604238152368286,0.5296123767818758,0.7638506851466461,0.032608695652173836,0.032608695652173836
2019-02-03 23:30:00,0.0052951484108898494,0.011267758770125536,-0.006118707279609725,0.017341819090018362,0.4442546139033117,1.0,0.7638506851466461,0.02981029810298108,0.02981029810298108
2019-02-04 00:00:00,0.005087495532031472,0.01025177845045433,-0.006051236445033359,0.016268845910174978,0.44425461390331167,0.9999999999999987,0.8432041255939577,0.02981029810298108,0.02981029810298108
2019-02-04 00:30:00,0.007512095413185094,0.011509856612140323,-0.0032218131338779266,0.01467087332801486,0.4002428467056529,0.24394297558221542,0.7479809918607377,0.032608695652173836,0.032608695652173836
2019-02-04 01:00:00,0.01250713085238142,0.01665804944196836,0.0009649013777051074,0.015556076082389838,0.3298580812759049,0.0,0.4146476585274044,0.03825136612021862,0.03825136612021862
2019-02-04 01:30:00,0.012016655132680354,0.015923540090206467,6.006646717193753e-05,0.01573770101248392,0.3298580812759048,0.0,0.08131432519407142,0.03825136612021862,0.03825136612021862
2019-02-04 02:00:00,0.012875550181029816,0.01709986320009249,0.00013679890661211225,0.016818120166193138,0.3138553539329831,0.0,-3.907985046680551e-16,0.03967168262653886,0.03967168262653886
2019-02-04 02:30:00,0.012370626644518934,0.016867210788260145,-0.0009985377376431348,0.017725111526106525,0.313855353932983,0.0,-3.907985046680551e-16,0.03967168262653886,0.03967168262653886
2019-02-04 03:00:00,0.015893758774510713,0.021417427808268608,0.0011100447192056162,0.020081193818035588,0.2685291868393592,0.0,-3.907985046680551e-16,0.04395604395604402,0.04395604395604402
2019-02-04 03:30:00,0.01126477731295683,0.01652304609805233,-0.0036639489708277795,0.02005803098457437,0.36698044363223964,1.0,0.3333333333333329,0.03967168262653886,0.03967168262653886
2019-02-04 04:00:00,0.010823021339899652,0.01496323994284654,-0.003745729682926857,0.018604620863066683,0.3669804436322397,1.0,0.6666666666666663,0.03967168262653886,0.03967168262653886
2019-02-04 04:30:00,0.014400716477425801,0.018699680902252602,-0.0008425380451078102,0.019369278956675885,0.3174305870486839,0.49670671357910967,0.8322355711930363,0.04395604395604402,0.04395604395604402
2019-02-04 05:00:00,0.009836172800695486,0.013753947277127088,-0.0052724151293823684,0.018946016781308184,0.40408113230633824,1.0,0.8322355711930363,0.03967168262653886,0.03967168262653886
2019-02-04 05:30:00,0.006803142432338705,0.01055679181203395,-0.008101130147639135,0.018635041281428417,0.4538575707360646,0.9999999999999999,0.8322355711930363,0.03683492496589369,0.03683492496589369
2019-02-04 06:00:00,0.006536352533031309,0.00959232479616623,-0.007955217019902316,0.0175331899552594,0.4538575707360646,0.9999999999999999,0.9999999999999996,0.03683492496589369,0.03683492496589369
2019-02-04 06:30:00,0.011586276498261938,0.015084043369550937,-0.0032870612021961287,0.01826337819828659,0.3801956286782316,0.460063250928221,0.82002108364274,0.04252400548696844,0.04252400548696844
