timestamp,ema50_dist_zec_usd_30m,ema200_dist_zec_usd_30m,lower_bb_dist_zec_usd_30m,width_bb_zec_usd_30m,rsi_zec_usd_30m,stoch_rsi_fastk_zec_usd_30m,stoch_rsi_fastd_zec_usd_30m,kijun_dist_zec_usd_30m,tenkan_dist_zec_usd_30m
2019-02-05 14:30:00,0.0016508982456480137,0.0041142012714470155,-0.0022758754610252563,0.006384208604743704,0.4726058379449196,0.5542344456381553,0.3991694128647221,-0.018239638900287347,-0.018239638900287347
2019-02-05 15:00:00,0.003683687053498197,0.00640606811971578,-0.0005377455470306769,0.006923499004002931,0.4252027191275509,0.0,0.3991694128647221,-0.016099847843072723,-0.016099847843072723
2019-02-05 15:30:00,0.00353922873767476,0.0065128263663079,-0.0007987168955680968,0.0072907132949325305,0.42520271912755087,0.0,0.184744815212718,-0.016099847843072723,-0.016099847843072723
2019-02-05 16:00:00,0.003400435453844386,0.006526604140558279,-0.0011641005422533546,0.007670139108527059,0.42520271912755087,0.0,-4.263256414560601e-16,-0.016099847843072723,-0.016099847843072723
2019-02-05 16:30:00,0.0032472628705830786,0.00653859797696521,-0.0012605060678465563,0.007778576025220131,0.42588123148832097,0.014313664959139834,0.004771221653046185,-0.016120078133031734,-0.016120078133031734
2019-02-05 17:00:00,0.00359581360622796,0.006775815061347279,-0.001085744912616038,0.00783925701280486,0.41327238462857935,0.0,0.004771221653046185,-0.01563432144987753,-0.01563432144987753
2019-02-05 17:30:00,0.003911241162348089,0.007357237415478002,-0.0010243980312686363,0.008355179442030427,0.4010190813081706,0.0,0.004771221653046185,-0.01516835432617114,-0.01516835432617114
2019-02-05 18:00:00,0.00405572283731126,0.007781185806956303,-0.0011314009470555497,0.008883051563114804,0.3928385962637453,0.0,-4.263256414560601e-16,-0.01486422498095652,-0.01486422498095652
2019-02-05 18:30:00,0.003916535728426984,0.007464643378662927,-0.001420008609661183,0.00885788066161079,0.3922641015899201,0.0,-4.263256414560601e-16,-0.01484394301243519,-0.01484394301243519
2019-02-05 19:00:00,0.0032072398517939416,0.006243817803918139,-0.002013365129021727,0.008239753988289675,0.41793188583297,1.0,0.3333333333333329,-0.0154115226337449,-0.0154115226337449
2019-02-05 19:30:00,0.00011572488006539317,0.0032203272154449625,-0.0050541733692920365,0.008282094628427114,0.531973180907346,1.0000000000000002,0.6666666666666663,-0.018441025641025677,-0.018441025641025677
2019-02-05 20:00:00,0.002284264466934305,0.005392944376122921,-0.002934062797176229,0.008316782182047395,0.46069054653543084,0.48977808228227226,0.8299260274274236,-0.01622121710526314,-0.01622121710526314
2019-02-05 20:30:00,2.180977774268733e-05,0.002808260121569539,-0.005072875506185626,0.007890069614272221,0.5287009362765293,0.9765781533540705,0.8221187452121138,-0.018441025641025677,-0.018441025641025677
2019-02-05 21:00:00,0.0014618564497317355,0.003909901693707196,-0.0035093018210782256,0.0074177177463932735,0.4849904834349711,0.5880203092946856,0.6847921816436758,-0.01696899973293342,-0.01696899973293342
2019-02-05 21:30:00,0.0018000273760161445,0.003156075803826708,-0.002516907749898545,0.005671171138015236,0.47344176969829804,0.17888260268746567,0.5811603551120736,-0.016564934130751996,-0.016564934130751996
2019-02-05 22:00:00,0.004288049054237408,0.0056887567354391155,-0.00023417381423973538,0.0059068209274042004,0.40624706709375774,0.0,0.2556343039940501,-0.013950708869106543,-0.013950708869106543
2019-02-05 22:30:00,0.004676948364947586,0.0060521159711535155,-3.1497414453185435e-05,0.006065354791800412,0.39320226541981546,0.0,0.05962753422915493,-0.013381443298969065,-0.013381443298969065
2019-02-05 23:00:00,0.004274659270445458,0.005640621102916521,-0.0005675448933980531,0.006192458589141126,0.4013352558677247,0.08860603924750297,0.029535346415834027,-0.013605161715899539,-0.013605161715899539
2019-02-05 23:30:00,0.0034510966390550735,0.004830905010640318,-0.0014422266981822807,0.006262520874488203,0.4261829283736067,0.4110277506118079,0.16654459661977,-0.014275708635464679,-0.014275708635464679
2019-02-06 00:00:00,-0.0028214858586862457,-0.0009901832318559567,-0.008153200249876424,0.007195914521004219,0.5962570167270067,1.0,0.4998779299531034,-0.020550608944836735,-0.020550608944836735
2019-02-06 00:30:00,-0.0045116189658842565,-0.001767846449384325,-0.010694612945472248,0.008982740012417528,0.6310904811351138,1.0,0.8036759168706022,-0.02239156638813422,-0.02239156638813422
2019-02-06 01:00:00,0.01287193182943458,0.01788824400159217,0.004257257433455175,0.01348170698741858,0.3368359776717075,0.0,0.6666666666666663,-0.004804292666694465,-0.004804292666694465
2019-02-06 01:30:00,0.012387390023175904,0.018868031690479237,0.0021693843366408228,0.01652482751820012,0.33664055879905613,0.0,0.3333333333333329,-0.0047835943511991275,-0.0047835943511991275
2019-02-06 02:00:00,0.04518926983475757,0.06424076585541205,0.021349683703631772,0.041130877024152745,0.16882356038001,0.0,-3.7895612573872007e-16,0.029275112927511282,0.029275112927511282
2019-02-06 02:30:00,0.04810460139657313,0.07494919136033396,0.015274260253962613,0.05709909250160213,0.15735476846558533,0.0,-3.7895612573872007e-16,0.03407961274149618,0.03407961274149618
2019-02-06 03:00:00,0.03402860319965462,0.06312362154872364,-0.001980605814645431,0.06317293546967404,0.2931083931809783,0.7563667824384283,0.25212226081280903,0.02156230652633373,0.02156230652633373
2019-02-06 03:30:00,0.031867662250416595,0.06270858512453525,-0.006923602189382594,0.06774267532054877,0.30144469999815754,0.8036885202366879,0.5200184342250384,0.02071245733788385,0.02071245733788385
