timestamp,ema50_dist_etc_usd_15m,ema200_dist_etc_usd_15m,upper_bb_dist_etc_usd_15m,lower_bb_dist_etc_usd_15m,width_bb_etc_usd_15m,rsi_etc_usd_15m,stoch_rsi_fastk_etc_usd_15m,stoch_rsi_fastd_etc_usd_15m,kijun_dist_etc_usd_15m,tenkan_dist_etc_usd_15m
2019-01-26 02:15:00,0.15786836909339463,-0.23606818227598358,0.45634218908681135,-0.042788598482101925,0.4981008306339578,43.47006283126046,0.0,10.991768559879967,-4.82441108597802,-5.055178559188422
2019-01-26 02:30:00,0.26173773678719314,-0.12075260072228478,0.5761098729886616,0.0641444903024535,0.5103316722866778,40.27684493725122,0.0,-4.097463109549911e-13,-4.715556877187366,-4.946588283734011
2019-01-26 02:45:00,0.15901582299358008,-0.2144615649453785,0.48465098852994437,-0.06188081553700764,0.5453789542926719,43.99822517356649,30.63628606717158,10.21209535572345,-4.807011129139149,-5.0378207911515265
2019-01-26 03:00:00,0.2716790139417169,-0.0902637140881346,0.6214265774225236,0.0073344339033498684,0.6121676078979453,40.503722360290894,3.9323423617846602,11.522876142985004,-4.689394806086266,-4.920489646493531
2019-01-26 03:30:00,0.03890273510378517,-0.3174273985980469,0.3820635356391211,-0.23117096384537295,0.6127721856294134,48.709169710323984,100.0,44.856209476318334,-4.909144866000103,-5.139706889467199
2019-01-26 03:45:00,-0.2121037860799313,-0.5704333183778609,0.11911038438925381,-0.4891012769212333,0.6093389105473165,56.07312201164974,100.0,67.97744745392781,-5.155965391621143,-5.385928961748643
2019-01-26 04:00:00,-0.21033435782980003,-0.5714809642890173,0.11716426415984138,-0.49783042995003024,0.6161674646411114,56.25112986602644,100.0,99.99999999999959,-5.162443366800995,-5.3923912301072185
2019-01-26 04:15:00,-0.19772009724633444,-0.5613120301023344,0.1415373014490351,-0.49444365604029983,0.6371051497688117,56.08794803433897,98.9637543092218,99.6545847697402,-5.1581248150087795,-5.388083149290768
2019-01-26 04:30:00,-0.02375532129298419,-0.3850769812870469,0.28458872863772466,-0.3146947840603098,0.599373736592694,50.13600754094617,18.91866041672675,72.62747157531577,-4.993727905120315,-5.224084844338006
2019-01-26 04:45:00,-0.4155553555989622,-0.7844769733006296,-0.05951911413122346,-0.7568352299914816,0.7001740665646713,60.757572117141045,100.0,72.62747157531577,-5.38216922203294,-5.611584327086883
