timestamp,ema50_dist_ltc_btc_12h,ema200_dist_ltc_btc_12h,lower_bb_dist_ltc_btc_12h,width_bb_ltc_btc_12h,rsi_ltc_btc_12h,stoch_rsi_fastk_ltc_btc_12h,stoch_rsi_fastd_ltc_btc_12h,kijun_dist_ltc_btc_12h,tenkan_dist_ltc_btc_12h
2018-08-24 02:00:00,0.09007767573377623,0.05424571365589226,-0.030333170502842233,0.0835795839547189,0.4125324160289256,0.6940110480079702,0.5646703493359904,0.17882623705408518,0.21214039125431516
2018-08-24 14:00:00,0.09199690426110352,0.05964640093406515,-0.026679367967032075,0.0849258915675659,0.40221417206576865,0.525349789217326,0.7397869457417657,0.18496240601503766,0.21844997108154995
2018-08-25 02:00:00,0.09707722990510481,0.06883102322648171,-0.020510519377636482,0.08723394843360027,0.3858173391354004,0.25732836114385416,0.492229732789717,0.19477490086307436,0.22853977140191262
2018-08-25 14:00:00,0.0908172785644159,0.06657250163460016,-0.023845017343233854,0.08852626664412873,0.3933200562303481,0.16513201360692517,0.315936721322702,0.19199441470793577,0.2256807074703282
2018-08-26 02:00:00,0.0961104152738399,0.07514570374567908,-0.01914945873277163,0.09172697927554692,0.3755348678281162,0.0,0.14082012491692672,0.20206524290072747,0.2360361417507626
2018-08-26 14:00:00,0.09407430835388952,0.07715551693941647,-0.020773288448584726,0.09524377718423543,0.37201237604814336,0.0,0.05504400453564202,0.20404325340855656,0.2380700517160319
2018-08-27 02:00:00,0.08424367650099152,0.06952010181965829,-0.028774600534311245,0.09633215145353444,0.3938791928490561,1.0,0.33333333333333365,0.19700864688011221,0.23083664407571858
2018-08-27 14:00:00,0.05460027645557797,0.02466135773105904,-0.04247456957616169,0.06773925414941716,0.4803915832822493,1.0,0.666666666666667,0.16674259681093395,0.1997152619589977
2018-08-28 02:00:00,0.062481970745474014,0.02726202968493152,-0.02958547113880794,0.056913618554058805,0.45339399070003883,0.7508969361263741,0.9169656453754582,0.17828387393604772,0.21158270071313545
2018-08-28 14:00:00,0.033499172783181264,0.0004508467218322654,-0.05474168248253153,0.05673255820423913,0.5301121359863322,1.0,0.9169656453754582,0.14765852565538862,0.18009186645753972
2018-08-29 02:00:00,0.04298107431632592,0.009753904943216485,-0.04367236473936564,0.054347969389959956,0.49890800469691166,0.7709501786364735,0.8406157049209493,0.1601359003397509,0.1929218573046434
2018-08-29 14:00:00,0.052658032623095874,0.0173741317911551,-0.031106808460494184,0.048816128304778564,0.46829456613532605,0.194224917451822,0.6550583653627653,0.17329057381743218,0.20644828771045698
2018-08-30 02:00:00,0.06564082036767882,0.031739367159024034,-0.017442029021164873,0.048832310155019334,0.43143372898572663,0.0,0.321725032029432,0.19074741369289794,0.224398465651517
2018-08-30 14:00:00,0.061759222113417556,0.03014845703986313,-0.01761072776194328,0.04746165411660817,0.4355456268328435,0.0416696820723056,0.07863153317470929,0.1892268400278616,0.22283491989784054
2018-08-31 02:00:00,0.04855723351703367,0.019597671537357808,-0.027798912061134495,0.047591739248754275,0.4700650561807359,0.5725341515389613,0.20473461120375572,0.17665977486790707,0.20991270388237981
2018-08-31 14:00:00,0.030372822618630835,0.005516319345633125,-0.0442664606045321,0.05076638219071185,0.519276181858177,1.0,0.5380679445370891,0.1576449316306927,0.19036049271104094
2018-09-01 02:00:00,0.006873869696018664,-0.009106359813567222,-0.06974043130539853,0.06312257784702899,0.5792961839622356,1.0,0.8575113838463205,0.13155859935932823,0.1635369490776537
