timestamp,ema50_dist_trx_usd_30m,ema200_dist_trx_usd_30m,lower_bb_dist_trx_usd_30m,width_bb_trx_usd_30m,rsi_trx_usd_30m,stoch_rsi_fastk_trx_usd_30m,stoch_rsi_fastd_trx_usd_30m,kijun_dist_trx_usd_30m,tenkan_dist_trx_usd_30m
2019-02-01 03:30:00,0.04687323061380311,0.0708255425731843,-0.019971622484218687,0.08854571665783405,0.34987356526784785,1.0,0.6666666666666669,0.04799825244260858,0.05026213360870613
2019-02-01 04:00:00,0.03459813695381153,0.05760998123106398,-0.03139348881694659,0.08785188589790639,0.4154829570579653,1.0,1.0000000000000002,0.03712365380080196,0.03936404370725577
2019-02-01 04:30:00,0.008218363274804075,0.030112943204871012,-0.05560434134273218,0.08682391605360865,0.5399195455673332,1.0,1.0000000000000002,0.011015747729798075,0.013199739453618964
2019-02-01 05:00:00,0.012220706972316364,0.03372162646737076,-0.05129080631573435,0.0857658506102145,0.5189144814518232,0.9227245618870239,0.9742415206290082,0.015529384597621654,0.017723126659739075
2019-02-01 05:30:00,0.018905418808586205,0.04072850668865313,-0.04448921695888275,0.08537826510675647,0.4855913218106354,0.7141311609375568,0.8789519076081937,0.02301011902454153,0.025220020935913023
2019-02-01 06:00:00,0.009996717626827856,0.031428735905953964,-0.05239374936231811,0.08471046326944139,0.523247334287194,0.8660184156456197,0.8342913794900668,0.014475201845444152,0.01666666666666683
2019-02-01 07:30:00,0.011735933394088516,0.032019631312817376,-0.049986725675705945,0.08274974321091098,0.5126320506395591,0.4977289327555085,0.6926261697795617,0.016703271298115885,0.018899549185065423
2019-02-01 08:00:00,0.01075161859997431,0.029792049908337948,-0.05011014595331997,0.0807222571485135,0.5152333788505464,0.7871799240124961,0.7169757574712082,0.016155119959949227,0.01835021373281487
2019-02-01 08:30:00,0.0106292628338438,0.02806426962861308,-0.049239969771147196,0.07813148383646641,0.5135465747154694,0.7423848428517615,0.6757645665399222,0.01646827689818564,0.01866404715127712
2019-02-01 09:00:00,0.009016942260770433,0.025853487882868453,-0.050184987248034774,0.07697493289635386,0.5203115252459914,0.7234356481979922,0.7510001383540835,0.01521680581739826,0.017409872648224356
2019-02-01 09:30:00,-0.002763178341325667,0.01466854626893066,-0.06171998917984822,0.07822892740466028,0.5810888620338454,1.0,0.8219401636832515,0.0032508269647542054,0.005418044941257083
2019-02-01 10:00:00,-0.0038918187041067087,0.014479140959805958,-0.06334946562280364,0.07977799483693147,0.5872655408366025,0.9999999999999999,0.9078118827326642,0.0019555724321245194,0.0041199924055439485
2019-02-01 10:30:00,-0.005226870857835575,0.014059639467425944,-0.0652539069833512,0.08139707835288315,0.5950200840304898,1.0,1.0000000000000002,0.0003980891719745916,0.0025591446769790416
2019-02-01 11:00:00,0.0034963557585863114,0.02331144413313524,-0.056972462378938826,0.0816582565437946,0.5336573460324587,0.17863844522773104,0.7262128150759105,0.009314156753241765,0.011494472707799464
2019-02-01 11:30:00,0.00016136006611144893,0.022006675655366292,-0.05978784225849443,0.08336941478872989,0.5522259823112421,0.3026044287557566,0.49374762466116273,0.005966450629050657,0.008139534883720989
2019-02-01 12:00:00,-0.007513293561343004,0.016936753602814658,-0.06627301168685229,0.08531430969023646,0.5944066615474896,0.9900033391107824,0.49041540436475695,-0.002061192844446058,9.455013047920957e-05
2019-02-01 12:30:00,-0.0048324808160714605,0.02182889924403919,-0.06259477602129204,0.0861802826570441,0.5761249225055682,0.692074341181976,0.6615607030161719,0.00043601895734601825,0.0025971563981044277
2019-02-01 13:30:00,-0.008038539641763931,0.01741860327867073,-0.058262609474599936,0.07725899621328394,0.5952200025085488,1.0,0.8940258934309198,-0.003116853677887277,-0.0009633911368014392
2019-02-01 14:00:00,-0.009089595410693985,0.013216014319400005,-0.04978371341775345,0.06417305827985285,0.6030058894049471,1.0,0.8973581137273255,-0.004545968989323579,-0.0023955936167804337
2019-02-01 14:30:00,-0.022014116430421504,-0.0006622084744902779,-0.055903523241902064,0.056849172281190234,0.6703853986618175,1.0,1.0000000000000004,-0.018432408302953673,-0.016312030354884266
2019-02-01 15:00:00,-0.025118747015713927,-0.003009590727237055,-0.05502863715837791,0.05357370796697318,0.6877363570594522,1.0,1.0000000000000004,-0.022577418876870592,-0.02046599496221657
2019-02-01 15:30:00,-0.013749856082378331,0.007963833922924879,-0.0397615867319161,0.048496459876472706,0.5994946534843931,0.046204273791314955,0.682068091263772,-0.01174157303370793,-0.00960674157303365
2019-02-01 16:00:00,-0.009684094665890819,0.013022924688610882,-0.035608541770677626,0.04918692498587612,0.5730130324367324,0.0,0.3487347579304387,-0.008063606631329656,-0.0059208300439832495
2019-02-01 16:30:00,-0.014073292708141727,0.009693885757005027,-0.03937782067378304,0.04981099966691412,0.5988432264982334,0.22515207039585372,0.09045211472905658,-0.013035346923508495,-0.010903310267439514
2019-02-01 17:00:00,-0.0002641730712731327,0.023031341572273156,-0.02296686459434938,0.04599672330176618,0.5077529970578917,0.0,0.07505069013195159,0.0007775164985208693,0.0029393916407494114
2019-02-01 17:30:00,0.002156643426032945,0.02533889071080253,-0.019152578923732677,0.0443542749475777,0.4932995438435516,0.0,0.07505069013195159,0.003288973384030447,0.005456273764258501
2019-02-01 18:30:00,-0.006383270863491108,0.016254436950200013,-0.025499527968933622,0.041947870861210636,0.5427807524412759,0.46882207777055723,0.1562740259235194,-0.0055214261485697635,-0.0033731579542456425
2019-02-01 19:30:00,-0.006132946515903237,0.015930733181982237,-0.023042631572667616,0.03911244662776373,0.5427807524412759,0.46882207777055723,0.3125480518470385,-0.0055214261485697635,-0.0033731579542456425
2019-02-01 20:00:00,-0.015405727264717894,0.0063792860894253955,-0.030207644298382186,0.03702808968015356,0.5953030421058418,1.0,0.6458813851803719,-0.015429104477611921,-0.013302238805970146
2019-02-01 20:30:00,-0.015894550599597324,0.00558426692462799,-0.028565147249626555,0.034546367138693516,0.6010335177794247,1.0,0.8229406925901861,-0.016566657970258247,-0.014442249636614335
2019-02-01 21:00:00,-0.015200750482724623,0.006891448155497137,-0.027756929537584907,0.03501366619311747,0.600442792774064,0.9898592796079005,0.9966197598693004,-0.016493346751649263,-0.014368780051436714
2019-02-01 21:30:00,-0.013085725057097486,0.009350590613136811,-0.02535521989709255,0.03498577771147085,0.5870827115738834,0.7605125503560403,0.9167906099879805,-0.014914507578585812,-0.012786530277010377
2019-02-01 22:00:00,-0.009518394167284505,0.012989049970735023,-0.021389799034407186,0.03452386215648498,0.5602341089516166,0.0,0.5834572766546472,-0.01174157303370793,-0.00960674157303365
2019-02-01 22:30:00,-0.005567532868242742,0.01585721738690271,-0.015052706108708902,0.030897494804092644,0.529888680749619,0.0,0.25350418345201375,-0.00802631578947366,-0.005883458646616435
2019-02-01 23:00:00,-0.004522355199112704,0.01595110591261406,-0.012109438305286213,0.02800674790978446,0.5228735954859655,0.0,2.842170943040401e-16,-0.007167851902020517,-0.005023140309289964
2019-02-01 23:30:00,-0.001638308519974152,0.018744783715092916,-0.009002122783844602,0.027612397386320667,0.49964474358123423,0.0,2.842170943040401e-16,-0.004358161648177483,-0.002207380575050877
2019-02-02 00:00:00,-0.013900486319661343,0.006223810890514603,-0.020549433865150957,0.026966399995323607,0.5898984353433766,1.0,0.33333333333333365,-0.017152754497709255,-0.015029612247178359
2019-02-02 00:30:00,-0.002251570530137026,0.01792496343452732,-0.008726139195759486,0.02652908443780744,0.5019939614224302,0.02602904984083314,0.342009683280278,-0.005633855893879991,-0.0034858305697919034
2019-02-02 01:00:00,-0.011570987872534078,0.008403718290004969,-0.017833174613003933,0.02636117869457053,0.561502694792855,0.6853786255596424,0.5704692251334922,-0.015392365386768136,-0.013265420351505575
2019-02-02 01:30:00,-0.0059509548622403985,0.012960548447520592,-0.012416540043530544,0.02537018769339322,0.524304119651893,0.2732229074423569,0.32821019428094445,-0.010036017108126405,-0.007897501313123723
2019-02-02 02:00:00,-0.0037787268126269202,0.012908304416010763,-0.0097917630626293,0.022664749663844377,0.5107341219269409,0.09942793710785215,0.35267649003661744,-0.00802631578947366,-0.005883458646616435
2019-02-02 02:30:00,0.001761160645857185,0.018509954388693295,-0.005051105951963564,0.02340356780467604,0.47425958291635983,0.0,0.12421694818340333,-0.002438471135306708,-0.0002835431552681289
2019-02-02 03:00:00,0.007623138099163818,0.025466624963294215,-0.0007871012081135387,0.025933710360951153,0.43766240402628703,0.0,0.0331426457026177,0.003708775533493025,0.005876982768458383
2019-02-02 04:00:00,-0.0012893280871119073,0.01584627662926197,-0.009972572576483651,0.025743245104195584,0.4983891596448656,0.7008951194017149,0.23363170646723863,-0.005221489161168713,-0.003072573044297755
2019-02-02 04:30:00,0.0038891871871085115,0.021217908348592607,-0.004556295249746878,0.025561257705237143,0.46600969218880367,0.3879378913885224,0.3629443369300794,9.475439660389107e-05,0.0022551546391753607
2019-02-02 05:00:00,0.009880584460231878,0.028188822521908907,0.0010021604280834318,0.026795567615131043,0.4303479243316318,0.0,0.3629443369300794,0.006465270625929831,0.008639432429339733
2019-02-02 06:00:00,0.016688912238552955,0.037882715013893176,0.004401330482569854,0.032788176164970484,0.3929245766524705,0.0,0.1293126304628411,0.013929449738702804,0.016119735628650655
2019-02-02 06:30:00,0.006040749198667594,0.027445949038602535,-0.006969016014605756,0.034066179614038135,0.4630158633107985,0.664595494236982,0.22153183141232763,0.003556079564903225,0.005723956946716013
2019-02-02 07:30:00,0.01291411831967082,0.03474657343461218,-0.0020849895872518953,0.03623973937870208,0.4252739594784156,0.44262614334738404,0.369073879194789,0.010938278226887865,0.013122102601432983
2019-02-02 08:00:00,0.011364803670795176,0.032623466106682875,-0.004826765123103649,0.036936869669056516,0.43253846152257436,0.5651755982624279,0.557465745282265,0.009854950438210386,0.012036434612882285
2019-02-02 08:30:00,0.004601205398192976,0.024186306937581392,-0.011585546481309827,0.03554788820688048,0.4760919373067425,1.0,0.669267247203271,0.003288973384030447,0.005456273764258501
2019-02-02 09:00:00,-0.002863800668404526,0.015049402414150759,-0.01871732694245498,0.03382877004430978,0.5222750189856528,1.0,0.8550585327541428,-0.004283018867924482,-0.002132075471698025
2019-02-02 09:30:00,0.0017524508555584184,0.018678967941472058,-0.014190038611780587,0.032795398440283986,0.493243764461924,0.700711985299884,0.9002373284332948,0.0003980891719745916,0.0025591446769790416
2019-02-02 10:30:00,-0.0031812563926714166,0.01316780023201436,-0.019150448289353084,0.03241521292668947,0.5240338179317461,1.0,0.9002373284332948,-0.004658619388909768,-0.0025084873632590377
2019-02-02 11:00:00,-0.009301615891961545,0.007126565366040394,-0.025710735655353978,0.03314528987707652,0.56130737250149,1.0,0.9002373284332948,-0.011149003147953751,-0.009012891620446606
2019-02-02 11:30:00,-0.0009151549002520687,0.015503743396127145,-0.017544482597217304,0.03308198184194166,0.5065562883332919,0.19558945308378653,0.731863151027929,-0.002815464268168144,-0.0006613506670192226
2019-02-02 12:00:00,-0.005284653967236097,0.008983711948455264,-0.021186999763977976,0.03035593280489659,0.5333727646670441,0.5895808547468241,0.5950567692768705,-0.0073919422187112005,-0.005247714704886497
2019-02-02 12:30:00,-0.00016282351172258736,0.013881116469094623,-0.01619895970273333,0.030114977069744225,0.5007056804614854,0.0,0.2617234359435371,-0.0022875940560365127,-0.00013234015200203064
2019-02-02 13:00:00,-0.0010636495515141675,0.010820635348017582,-0.016260345230158735,0.027154837797934935,0.5066868758464046,0.09869683805149908,0.22942589759944126,-0.0032298277425203414,-0.0010766092475067435
2019-02-02 13:30:00,0.0017049697303268552,0.012469170258828877,-0.013215467186511454,0.025694225206005526,0.4878075777021087,0.0,0.03289894601716656,-0.00039777247414474193,0.0017615638140697776
2019-02-02 14:00:00,-0.0028978545280200496,0.007241529282986381,-0.01770454112221531,0.025077262251116193,0.5199144677603817,0.7046364164593649,0.26777775150362154,-0.005108966141316618,-0.002959806952718469
2019-02-02 14:30:00,-0.0008659689891135081,0.009323704188599402,-0.015734977753903312,0.02513926930888837,0.5054470410685444,0.549398067966741,0.41801149480870214,-0.003116853677887277,-0.0009633911368014392
2019-02-02 15:00:00,0.0016405013435545346,0.012027706383174852,-0.01287994682861382,0.024918271391143568,0.4867329863958824,0.0,0.41801149480870214,-0.0005492216203931699,0.0016097875080489654
2019-02-02 16:30:00,0.007628518905760551,0.017855209142407347,-0.007236212344116089,0.02495890223506199,0.4437956597587882,0.0,0.1831326893222472,0.005736392742796248,0.007908980027443224
2019-02-02 17:00:00,0.008696596920377164,0.01927486648121124,-0.0065224713516272015,0.02563389107896459,0.43453855872207936,0.0,2.3684757858670006e-16,0.007156761708462245,0.009332417267834625
2019-02-02 17:30:00,0.008355553903891755,0.01930443885105726,-0.00662074863387474,0.02576181007571485,0.43453855872207936,0.0,2.3684757858670006e-16,0.007156761708462245,0.009332417267834625
2019-02-02 18:00:00,0.008360810277590502,0.018952486736008023,-0.004943322933031125,0.023729593785876885,0.4319965188829629,0.0,2.3684757858670006e-16,0.007502863688430672,0.009679266895761707
2019-02-02 18:30:00,0.0018944339951620925,0.012539801981918508,-0.01104873698969755,0.023570966050460673,0.4914462064271882,1.0,0.3333333333333336,0.001119247258792866,0.003281860606290765
