timestamp,ema50_dist_ltc_btc_15m,ema200_dist_ltc_btc_15m,upper_bb_dist_ltc_btc_15m,lower_bb_dist_ltc_btc_15m,width_bb_ltc_btc_15m,rsi_ltc_btc_15m,stoch_rsi_fastk_ltc_btc_15m,stoch_rsi_fastd_ltc_btc_15m,kijun_dist_ltc_btc_15m,tenkan_dist_ltc_btc_15m
2019-02-08 05:00:00,-0.3024514913854137,,0.09894170070949837,-0.7410028396522161,0.8426497035035051,60.688662081196476,100.0,100.0,24.971884265412548,24.332890297515597
2019-02-08 05:15:00,-0.3786489291289552,,0.061525741980594795,-0.8511069472920574,0.9162499580036904,63.2089480036936,100.0,100.0,24.856996935648624,24.21859039836567
2019-02-08 05:30:00,-0.451710114062176,,0.04193640883691785,-0.9624385008870306,1.0090189299034162,65.58504353054883,99.99999999999999,100.0,24.742320644963755,24.104500459230536
2019-02-08 05:45:00,-0.424234363509679,,0.08347151679051201,-0.9673253645144708,1.0554612487340769,65.08209287928828,90.28340251777533,96.76113417259178,24.755052051439087,24.117166768728325
2019-02-08 06:00:00,-0.4953959784422257,,0.06195093307110877,-1.0846897930689825,1.1525344349104338,67.49788406117739,100.0,96.76113417259178,24.64056286326093,24.00326297542572
2019-02-08 06:15:00,-0.7578384917919623,,-0.09282663476312125,-1.4332002054157078,1.3506794360117491,73.79025309641676,100.0,96.76113417259178,24.273078487189913,23.6376575843839
2019-02-08 06:30:00,-1.1431475180230355,,-0.287132975186688,-1.960058036049206,1.6919355729177736,79.97944342148406,100.0,100.0,23.732159125417553,23.09950399838039
2019-02-08 06:45:00,-1.251898982843247,,-0.21179926375399782,-2.1995195841489013,2.0119779218171145,81.71012786716886,100.0,100.0,23.53208691258213,22.900454775138957
2019-02-08 07:00:00,-1.3464107978205186,,-0.13164259947482382,-2.4041798021396277,2.3017209807915915,83.17827080581249,100.0,100.0,23.345105953582234,22.714429868819373
2019-02-08 07:15:00,-1.2936103743765748,,0.062421482342189805,-2.434772642786087,2.527170808124744,83.17827080581249,100.0,100.0,23.345105953582234,22.714429868819373
2019-02-08 07:30:00,-1.4243565821124515,,0.07651907369010669,-2.637703482996101,2.749431562953671,84.95266084094833,100.0,100.0,23.109074428441943,22.479605196897978
2019-02-08 07:45:00,-1.2825731117290018,,0.30522011321827414,-2.483647532573041,2.819578885568094,80.61488331605862,0.0,66.66666666666667,23.220766129032256,22.590725806451605
2019-02-08 08:00:00,-1.1940162821607925,,0.4487623995154122,-2.3507390029844477,2.8263799451407223,78.69169698198534,0.0,33.333333333333336,23.270471964501827,22.640177490923776
2019-02-08 08:15:00,-1.3764023498666789,,0.313731657062144,-2.462625017223008,2.806511140055561,81.53765750527283,45.45562931517818,15.151876438392726,22.972837022132797,22.344064386317907
2019-02-08 08:30:00,-1.4366814208713108,,0.31383876040944614,-2.480237474235736,2.8246730752309857,82.776340369636,65.23984932133449,36.89849287883755,22.8245578778135,22.196543408360125
2019-02-08 08:45:00,-1.465902946048503,,0.3377576443475583,-2.462042354717886,2.8298571100222008,83.66171242250948,100.0,70.23182621217089,22.713582973597045,22.086135930127515
2019-02-08 09:00:00,-1.8718362089554796,,0.05341669812741756,-2.8965735412841975,2.992531420342161,87.44557566903859,100.0,88.4132831071115,22.112887112887126,21.4885114885115
2019-02-08 09:15:00,-2.1456350098274957,,-0.058446779935505955,-3.232087707971265,3.226729247394206,89.43523631725496,100.0,100.0,21.663183039713353,21.041106798049157
2019-02-08 09:30:00,-2.238953402140198,,0.007008904645955383,-3.378755377922271,3.4438227689471588,90.28655479884816,100.00000000000001,100.0,21.433538644943372,20.81263659845023
2019-02-08 09:45:00,-7.873188240692652,,-3.589399777546576,-10.884898198010761,7.8646767977226375,97.56095147295791,100.00000000000001,100.0,14.035824237335582,13.452747457785241
2019-02-08 10:00:00,-9.114039166886357,,-3.144202377053684,-13.543240336053486,11.3456907839923,98.02650063165488,100.0,100.0,12.039413382218145,11.46654445462878
