timestamp,ema50_dist_neo_usd_4h,ema200_dist_neo_usd_4h,lower_bb_dist_neo_usd_4h,width_bb_neo_usd_4h,rsi_neo_usd_4h,stoch_rsi_fastk_neo_usd_4h,stoch_rsi_fastd_neo_usd_4h,kijun_dist_neo_usd_4h,tenkan_dist_neo_usd_4h
2019-01-21 12:00:00,,0.0880074621163629,-0.04583695821093148,0.13108055382381767,0.43588563621796955,1.0,0.7278767863265704,-0.031656269658209335,-0.031656269658209335
2019-01-21 16:00:00,,0.10090556033953324,-0.03742521442383029,0.13407520458061536,0.4072574494743275,0.4103041382399029,0.7221903207994551,-0.02034525277435273,-0.02034525277435273
2019-01-21 20:00:00,,0.09550274900361377,-0.04365543656710191,0.13564185280967053,0.4247158427558277,0.7699197284018388,0.7267412888805806,-0.025230537855701174,-0.025230537855701174
2019-01-22 00:00:00,,0.10534585640592309,-0.038311249836327166,0.13899825942504215,0.40220438169110023,0.28260424077005775,0.4876093691372666,-0.01657704900577639,-0.01657704900577639
2019-01-22 04:00:00,,0.1061545864057094,-0.040086968163365766,0.14156511943542927,0.40103749692761814,0.0,0.3508413230572989,-0.01613182423435422,-0.01613182423435422
2019-01-22 08:00:00,,0.11991972378425841,-0.032978433031442655,0.14652846967299846,0.37128579865479805,0.0,0.09420141359001936,-0.004573745756318415,-0.004573745756318415
2019-01-22 12:00:00,,0.11168300392418384,-0.043318911075735045,0.14987875252316718,0.40087291873336894,0.5537543637924999,0.1845847879308334,-0.01174983615766323,-0.01174983615766323
2019-01-22 16:00:00,,0.06587266309453987,-0.0828519952911505,0.1499980921030279,0.5406074087269541,1.0,0.5179181212641667,-0.05273582728647985,-0.05273582728647985
2019-01-22 20:00:00,,0.06574472898486539,-0.07600872885590804,0.14248468925685231,0.5220827339307065,0.8905947398660256,0.8147830345528417,-0.04715326584563806,-0.04715326584563806
2019-01-23 00:00:00,-0.0006421494264723382,0.05813059662314246,-0.07447319064299018,0.13369625910842323,0.5238130565293453,0.9008138878997669,0.9304695425885974,-0.04770588993426994,-0.04770588993426994
2019-01-23 04:00:00,-0.0005427120424059684,0.04753192550896612,-0.06974812820539789,0.11859744616601564,0.5235408814370867,0.8778646038594269,0.8897577438750731,-0.04763224376160036,-0.04763224376160036
2019-01-23 08:00:00,0.01206807112290531,0.05184508707301272,-0.05416582186016361,0.10613406343973951,0.4787161888745408,0.0,0.592892830586398,-0.03514625228519208,-0.03514625228519208
