timestamp,ema50_dist_omg_btc_30m,ema200_dist_omg_btc_30m,lower_bb_dist_omg_btc_30m,width_bb_omg_btc_30m,rsi_omg_btc_30m,stoch_rsi_fastk_omg_btc_30m,stoch_rsi_fastd_omg_btc_30m,kijun_dist_omg_btc_30m,tenkan_dist_omg_btc_30m
2019-01-30 12:00:00,,0.015833779223567657,-0.0031402807715562586,0.018854395872712062,0.42692597790426234,0.0,0.14045531076003423,-0.04179566563467496,-0.034055727554179516
2019-01-30 12:30:00,,0.012530029992005032,-0.005739906535216166,0.01820811883980216,0.46513409807363376,0.22981030572472774,0.19671091149746725,-0.044753086419753174,-0.03703703703703709
2019-01-30 13:00:00,,0.00943750901281204,-0.008514432089735902,0.017943659413587835,0.5009652230983569,0.4801929113961419,0.23666773904028987,-0.0476923076923077,-0.039999999999999925
2019-01-30 13:30:00,,0.0014209978359125408,-0.017579534421279353,0.01915529300863367,0.5897553028843933,1.0,0.5700010723736232,-0.05640243902439024,-0.04878048780487809
2019-01-30 14:00:00,,0.0024519146922303836,-0.01739093908247502,0.01999218564921931,0.5897553028843932,0.9999999999999996,0.8267309704653805,-0.05640243902439024,-0.04878048780487809
2019-01-30 14:30:00,,0.0006475208028933199,-0.019796456973106724,0.02064161021422141,0.6161572006058061,1.0,1.0,-0.059270516717325195,-0.05167173252279633
2019-01-30 15:00:00,,0.0018713652469108943,-0.01950054457821837,0.02156196974077752,0.616157200605806,0.9999999999999987,0.9999999999999996,-0.059270516717325195,-0.05167173252279633
2019-01-30 15:30:00,,0.0004938713466817735,-0.022312053164863732,0.023057460443658074,0.6428167394343127,1.0,0.9999999999999999,-0.06212121212121213,-0.054545454545454564
2019-01-30 16:00:00,,0.007063907440022943,-0.015905370854657153,0.023071270190338545,0.559168532355917,0.0,0.6666666666666664,-0.05640243902439024,-0.04878048780487809
2019-01-30 16:30:00,-0.00951219512195145,0.007460362192085235,-0.015387191460378147,0.022938468313461944,0.559168532355917,0.0,0.3333333333333336,-0.05640243902439024,-0.04878048780487809
2019-01-30 17:00:00,-0.003300854083964966,0.013592124122129512,-0.008990897128264397,0.022531185700469452,0.4858459997823203,0.0,2.3684757858670006e-16,-0.05061349693251538,-0.042944785276073705
2019-01-30 17:30:00,-0.00022490757992499333,0.016759996304627656,-0.006298457843089245,0.022938468313461944,0.4538041289943836,0.0,2.3684757858670006e-16,-0.0476923076923077,-0.039999999999999925
2019-01-30 18:00:00,-0.00021608767482994562,0.01679753658741001,-0.00664369043356372,0.023322818863665738,0.4538041289943836,0.0,2.3684757858670006e-16,-0.0476923076923077,-0.039999999999999925
2019-01-30 18:30:00,-0.0031541679430812097,0.013424211266389818,-0.008822984272524814,0.022196130820768573,0.4926127449189609,0.3683275820526838,0.12277586068422815,-0.05061349693251538,-0.042944785276073705
2019-01-30 19:00:00,-0.0059593859041060515,0.010357638644387324,-0.011275069837047624,0.021642636296249698,0.5286774699398675,0.9999999999999999,0.45610919401756145,-0.05351681957186538,-0.04587155963302747
2019-01-30 19:30:00,-0.0057256844961018905,0.010087373507146502,-0.0113106150973602,0.02141108406876882,0.5286774699398675,0.9999999999999999,0.7894425273508948,-0.05351681957186538,-0.04587155963302747
2019-01-30 20:00:00,-0.002570831389452688,0.012791013234765725,-0.00849653470715861,0.021241936421999928,0.4884149128426942,0.462257773077217,0.8207525910257393,-0.05061349693251538,-0.042944785276073705
2019-01-30 20:30:00,-0.002470014472219173,0.012668535362595934,-0.008680805301246264,0.021306857665429533,0.4884149128426943,1.7647729975153131e-15,0.4874192576924065,-0.05061349693251538,-0.042944785276073705
2019-01-30 21:00:00,0.0005758062636964656,0.015827720090134667,-0.005981566243980829,0.021702443535173123,0.4487770226290626,0.0,0.15408592435907323,-0.0476923076923077,-0.039999999999999925
2019-01-30 21:30:00,0.000553225625904652,0.01570938853974857,-0.006478619308979527,0.022086072131199574,0.4487770226290626,0.0,9.000207986294601e-16,-0.0476923076923077,-0.039999999999999925
2019-01-30 22:00:00,0.003498554713902813,0.01846807698345132,-0.0027273362427110426,0.02102990012333986,0.41017092915508846,0.0,3.117631327910225e-16,-0.044753086419753174,-0.03703703703703709
2019-01-30 22:30:00,-0.002553647621922228,0.011938383482950066,-0.00795065342160084,0.019849459760856003,0.5023735704233805,1.0,0.33333333333333365,-0.05061349693251538,-0.042944785276073705
2019-01-30 23:00:00,-0.005384179835257186,0.008881841159221082,-0.010410893146988953,0.01930749538831125,0.5410082041272226,1.0000000000000002,0.666666666666667,-0.05351681957186538,-0.04587155963302747
