timestamp,ema50_dist_xrp_usd_12h,ema200_dist_xrp_usd_12h,lower_bb_dist_xrp_usd_12h,width_bb_xrp_usd_12h,rsi_xrp_usd_12h,stoch_rsi_fastk_xrp_usd_12h,stoch_rsi_fastd_xrp_usd_12h,kijun_dist_xrp_usd_12h,tenkan_dist_xrp_usd_12h
2018-10-03 14:00:00,-0.13076843351961287,0.16253515561619247,-0.11278609901241832,0.26863898655456886,0.5353766257033045,0.0,1.6579330501069005e-16,-0.3488301886792453,-0.4034433962264151
2018-10-04 02:00:00,-0.11527075373164575,0.17005339611440573,-0.10469140948594247,0.2660500264642199,0.5216732019435215,0.0,1.6579330501069005e-16,-0.34074498567335243,-0.39603629417383
2018-10-04 14:00:00,-0.12889769624145042,0.14539657276577378,-0.12274645686059082,0.2651403003592288,0.5437681368008505,0.31031132654076893,0.10343710884692314,-0.3548194122485605,-0.40893030733567637
2018-10-05 02:00:00,-0.11699693151188462,0.1517917330135763,-0.10508435618067591,0.2510139867593045,0.5336789447137306,0.47570921384814546,0.2620068467963049,-0.3495420106298769,-0.40409551811225464
2018-10-05 14:00:00,-0.087929802786892,0.16705404533525625,-0.04896794876748345,0.20397848269982044,0.4994618714155889,0.0,0.2620068467963049,-0.3307737056428157,-0.3869012992049642
2018-10-06 02:00:00,-0.09427745459204351,0.150607689973965,-0.052070693061034734,0.19316160099455149,0.5126461833507615,0.29757217902546085,0.25776046429120225,-0.3382547504458038,-0.3937549134277991
2018-10-06 14:00:00,-0.08354936729888673,0.16084165005642914,-0.04836653649694189,0.1980692555481599,0.502427703506706,0.06693933838313701,0.12150383913619942,-0.3329080893012467,-0.38885667343191266
2018-10-07 02:00:00,-0.02676088021738543,0.2380883308278987,-0.004648376756830608,0.21736577886705555,0.4360540810655186,0.0,0.12150383913619942,-0.2923663652580427,-0.35171515859834734
2018-10-07 14:00:00,-8.409421224686575e-05,0.2814225235145025,0.0020533559883426644,0.24468764486094216,0.410424639223819,0.0,0.022313112794379145,-0.2729724036233411,-0.3339477564777755
2018-10-08 02:00:00,-0.0013944753444882219,0.28553183383138925,-0.019067123617861004,0.26878773455118415,0.4122832463896463,0.01818214723423881,0.0060607157447464125,-0.2739665509624487,-0.33485852529714955
2018-10-08 14:00:00,-0.020623616270553424,0.26275543552793734,-0.05037860600824928,0.28307477944810044,0.4407619950013564,0.32974288426152215,0.11597501049858712,-0.2885590599876314,-0.3482271696557411
2018-10-09 02:00:00,-0.03359557430096183,0.24464750579623362,-0.07371252580395105,0.29329301387120904,0.4615408183163529,1.0,0.4493083438319204,-0.2989782860392842,-0.35777254169121087
2018-10-09 14:00:00,-0.016472760260374586,0.25559355533662176,-0.06769304507983953,0.295522213099643,0.4413575513673862,0.6051491463704745,0.6449640102106656,-0.28704526204887726,-0.34684033300968875
